slug,model,field_id,label_fr,label_en,section,external_model,external_model_display_keys,is_controled,reference_table,vocab,translation,multiple,constraint,datatype,is_indexed,is_facet,ADMIN_scope_order,PAGE_LIST_scope_order,PAGE_ITEM,FILTER_page_scope_order,mandatory,editable,commentable,description_fr,description_en
label_en,references,referencess.label_en,Nom du champ en Anglais,Fieldname  EN,ADMIN,,,False,,,False,False,None,str,False,False,5,4,4,-1,True,True,False,,
label_fr,references,referencess.label_fr,Nom du champ en Français,Fieldname  FR,ADMIN,,,False,,,False,False,None,str,False,False,6,5,5,-1,True,True,False,,
id,comment,comments.id,id,id,ADMIN,,,False,,,False,False,unique,id,False,False,1,-1,-1,-1,False,False,False,,
text,comment,comments.text,Commentaire ,Comment ,ADMIN,,,False,,,False,False,None,str,False,False,2,1,1,-1,True,False,False,,
scope,comment,comments.scope,Section /champ,Scope,ADMIN,reference,name,True,commentables_fields,,False,False,None,str,False,False,3,2,2,-1,True,True,False,Niveau du commentaire : modele/ section/ champ,
user,comment,comments.user,Utilisateur,User ,ADMIN,User,,False,,,False,False,None,dict,False,False,4,3,3,-1,True,False,False,,
date,comment,comments.date,Date,Date ,ADMIN,,,False,,,False,False,None,Date,False,False,5,4,4,-1,True,False,False,,
id,rôle,rôles.id,id,id,ADMIN,,,False,,,False,False,unique,id,False,False,1,-1,5,-1,False,False,False,,
type,rôle,rôles.type,Role,Role,ADMIN,,,False,,,True,False,unique,str,False,False,2,1,1,-1,True,True,False,,
action,rôle,rôles.action,Actions ,Actions,ADMIN,reference,name,True,action,,False,True,oneOf,str,False,False,3,2,2,-1,True,True,False,,
perimeter,rôle,rôles.perimeter,Périmêtre,Perimeter,ADMIN,reference,name,True,perimeter,,False,False,oneOf,str,False,False,4,3,3,-1,True,True,False,,
license_name,licence,licences.license_name,Nom de la licence,Licence Name,LEGAL,reference,name,True,licence_name,DCAT,True,False,oneOf,str,False,True,2,1,1,23,False,True,False,Nom de la licence sous laquelle le jeu de données est rendu disponible,
license_type,licence,licences.license_type,Type de licence,Licence Type,LEGAL,reference,name,True,licence_type,DCAT,True,True,oneOf,str,False,True,3,2,2,24,False,True,False,"Type de licence e.g. Domaine public, Droit d’auteur requis (DCAT-AP)",
is_opendata,licence,licences.is_opendata,Données Ouvertes,Open Data,LEGAL,,,False,,,False,False,Bool,bool,False,True,4,3,3,24,True,True,False,Est en open data ?,
license_description,licence,licences.license_description,Description,Description,LEGAL,,,False,,,True,False,None,str,False,False,5,4,4,26,False,True,False,Description de la licence,
id,licence,licences.id,id,id,ADMIN,,,False,,,False,False,unique,id,False,False,1,-1,-1,-1,False,False,False,,
